id,content,messageType,createAt,conversationId,aditional_id
4436,ya super y a que te dedicas?,agent,2025-08-09 16:15:02.595-04,231,KVH314V8BN3AAH1R2IA0
4437,A la construcción,user,2025-08-09 16:15:14.376-04,231,62JUTHO6TUKUEKM5MGWG
4438,Y además quiero tener giro de turismo porque voy a construir una cabaña,user,2025-08-09 16:15:58.117-04,231,ZGEIKOPRFYBLJLSDKDCP
4439,"",agent,2025-08-09 16:20:15.086-04,231,KWVRNOD0PPGMB33W0D2T
4440,"Yo ahora tengo una empresa bajo mi Rut, quiero cerrar ese giro y abrir una SPA, yo me dedico a la construcción, pero también queremos incluir turismo (arriendo de cabaña) 

La cabaña está ubicada donde sería la dirección de la empresa",user,2025-08-09 16:25:46.167-04,231,KMWMDXENXKH1VG2A7NKV
4441,"ah ya super, entonces podemos crear una spa  bien amplia 
",agent,2025-08-09 16:33:45.422-04,231,ONUAS2ZTCETQ7DFIM52D
4442,"",agent,2025-08-09 16:34:27.309-04,231,6N1GRNBZM2RAABJ5KXNF
4443,"Paso 1: Empresa en 1 Día
Valor $99.000 + IVA= 117.810
 
 
Preparación de Escritura, Obtención de Rut, Inicio de Actividades, Asesoría Tributaria y Jurídica.
 
El servicio de Empresa en Línea incluye:
* Propuesta de Escritura o Estatutos.
 
* Inicio de Actividades.
 
* Orientación Tributaria y Jurídica.
 
* Obtención de E-rut

 
Paso 2:  En este  minuto haremos el inicio de actividades debe enviarme el contrato de arriendo o el de uso de cesión donde vas a funcionar  (con Rol de Avaluó y Dirección exacta) 


Paso 3 para que pueda Facturar y boletear la empresa: HABILITACIÓN PYME $70.000 con este servicio se deja la empresa lista para emitir boletas y facturas demás esta decir que el SII pedirá documentos para acreditación del giro como facturas, orden de compra, cotización y/o contratos de obras o de servicios, bodega según giro que desea activar el servicio incluye:
 
# Certificado Digital simple centralizado ante el SII con vigencia de 3 años
 
# Configuración portal MyPyme.
 
# Habilitación del sistema de Factura Electrónica
 
# Acreditación de Actividad y Domicilio",agent,2025-08-09 16:34:53.711-04,231,UAEYQ3U3WZM0QH3H73A7
4444,El terreno está a mi nombre,user,2025-08-09 17:01:41.414-04,231,WQU0CJVBEMBNT61F0A8U
4445,Donde estaría ubicada la empresa,user,2025-08-09 17:01:54.526-04,231,DCV1Z3FAKYVQS8I3JCES
4446,"Cómo se hace 
Tengo que hacer un contrato de arriendo???",user,2025-08-09 17:02:27.389-04,231,XCKHRQ1CUUXMVYCG8AX6
4447,"",agent,2025-08-09 17:11:31.033-04,231,B7IYQ4VQZXG8WZEXYNEY
4448,"",agent,2025-08-09 17:11:48.751-04,231,GC5OGGTH8AKZTTI1S4TO
4449,"",agent,2025-08-09 17:12:37.895-04,231,VFKDYZWPBZXD5IIF4RTX
4450,"",agent,2025-08-09 17:13:01.064-04,231,1NHV12VWFMO8ADHEOFC8
4451,"que te parece? quisieras avanzar?
",agent,2025-08-09 17:36:16.504-04,231,61E5U56141QPK7H85WFA
4452,¡Hola! Necesito ayuda con,user,2025-08-08 22:15:40.23-04,232,KGSNXWS6ENR3D85TFY64
4453,¡Bienvenido a Emprende.cl! 🚀,bot,2025-08-08 22:15:40.272-04,232,1OAQEO0PFIL21LFI1O3V
4454,¿En qué te puedo ayudar?,bot,2025-08-08 22:15:40.272-04,232,DGCF8G6YE86BS6U1ORID
4455,Para comprar la fitms digital,user,2025-08-08 22:16:00.02-04,232,IVX0GOQAZWUT0QFKX0HW
4456,Te asignaremos un agente disponible,bot,2025-08-08 22:16:00.051-04,232,7W05FLFBHMV73P30M1XT
4457,¡Hola! Necesito ayuda con,user,2025-08-08 22:28:59.047-04,232,7GK30QYMGDE3U0Y1W21T
4458,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-08-08 22:28:59.139-04,232,KOW8NGGEOTERTI00ZJ2A
4459,¿En qué te puedo ayudar?,bot,2025-08-08 22:28:59.139-04,232,MRUJSOQK7APA4GXNXU7F
4460,¡Hola! Necesito ayuda con,user,2025-08-08 22:48:35.978-04,232,45KJ8CL06EUOZBG8DJR0
4461,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-08-08 22:48:36.136-04,232,88PLNCOFWUAVL2MBTEIC
4462,¿En qué te puedo ayudar?,bot,2025-08-08 22:48:36.136-04,232,F7BN1GEHJM6YKUUG2J47
4463,No puedo generar mi clave de la firma digital,user,2025-08-08 22:49:06.559-04,232,TR5VW67JJF5GDGSS4DJ6
4464,Te asignaremos un agente disponible,bot,2025-08-08 22:49:06.59-04,232,7AZUC2I8UPDHARACT60M
4465,¡Hola! Necesito ayuda con,user,2025-08-08 22:57:03.701-04,232,DZDUBDF6833ZN1UD773N
4466,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-08-08 22:57:03.741-04,232,8MXF0DZ15QUTOSWNVF1X
4467,¿En qué te puedo ayudar?,bot,2025-08-08 22:57:03.742-04,232,88ICUQJ6R5D3YIH6S5IO
4468,No puedo general mi firma digital,user,2025-08-08 22:57:30.788-04,232,LAKM8SM8IWSBEWX8TZIQ
4469,Te asignaremos un agente disponible,bot,2025-08-08 22:57:30.818-04,232,3PYKLR0UZ1BR44A2JPWM
4470,¡Hola! Necesito ayuda con,user,2025-08-09 12:42:41.411-04,232,TWHW0HUOO233OAJJXPP1
4471,¡Hola! Necesito ayuda con,user,2025-08-09 13:15:18.914-04,232,ZXVMCQFDTHLCZ6Y3A0F3
4472,"",user,2025-08-09 13:15:53.52-04,232,2DR1SPRJPFRAKDP82RG8
4478,rorro81@live.com,user,2025-08-09 16:21:07.163-04,232,RKLC7RK0ISNA7D85FLO5
4479,Hola,user,2025-08-09 18:09:43.849-04,232,OXILKTUTN41T0BZ8L1WM
4480,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-08-09 18:09:43.941-04,232,WIBNV548IKYCTHCO71WP
4481,¿En qué te puedo ayudar?,bot,2025-08-09 18:09:43.941-04,232,HNANXZGKWBU6ZKIXGCRM
4482,Tengo problemas para abilitar mi firma digital,user,2025-08-09 18:10:14.228-04,232,T3PXAFBOSYRL41HMI4HZ
4483,Te asignaremos un agente disponible,bot,2025-08-09 18:10:14.619-04,232,FSH7Y0RZJYFG1NYSI0C6
4484,¡Hola! Necesito ayuda con,user,2025-08-09 19:34:08.671-04,232,NCYRUL1EAT0Q82KQK44G
4485,"Template:

¡Hola Aguaservis! 😊
Estoy en Linea, ¿como estas?
",agent,2025-08-11 08:33:19.332-04,232,5JLK21B46Y54P6JXI2TO
4486,¡Hola!,user,2025-08-09 16:42:17.145-04,233,5SI3LRVNRKZJML6Q36RF
4487,¡Bienvenido a Emprende.cl! 🚀,bot,2025-08-09 16:42:17.237-04,233,KTAXLZQD2RUOIZF6UNFK
4488,¿En qué te puedo ayudar?,bot,2025-08-09 16:42:17.237-04,233,MPDD71JKBP3HC8UMQCMT
4489,"",user,2025-08-09 16:42:27.974-04,233,0126UJ51WJF6EK1VB2OH
4490,Te estamos trasfiriendo con un Asesor de Emprendimiento,bot,2025-08-09 16:42:28.001-04,233,62NI3ZHBJ53527IQZTHZ
4491,"Hace unos años creamos una empresa con ustedes, inicimos inicio de actividades, pero nunca facturamos. Lo que nos gustaria hacer es modificar a los accinoistas, ojala no reiniciar inicio de actividades pero estar preparados para eso, nos podrian ayudar?",user,2025-08-09 16:44:24.69-04,233,F2JY2QB4HWP2E1TJV0HP
4492,"",agent,2025-08-09 17:01:33.612-04,233,DP2EHUIMFQ5JPMUDOU51
4493,"Hola, respondiendo a tus preguntas

1. Rut: 77.112.955-2
2. Hicimos inicio de activadades hace como 5 años (no me acurd bien)
3. Estuvimos declarando en 0 el formulario efectivamente hasta algun momento
4. Actualmente somos 3 accionastas, ahora es pasarnos a 2 accionistas distribuido de manear diferente",user,2025-08-09 17:04:25.903-04,233,8FKM7CKLVRT2RJJJSASO
4494,"fue inscrita el 31 de dic del 2019, tengo el documento origina",user,2025-08-09 17:11:55.591-04,233,VB0AG1ZP7DDEMUZFWHQT
4495,pero no logro identificar si fuje en un dia o la otra,user,2025-08-09 17:12:03.365-04,233,27KN4UDONEEJNH6W103P
4496,"",agent,2025-08-09 17:21:57.791-04,233,IEQ3VKBQ0GEXVKYFBYV0
4497,"",agent,2025-08-09 17:23:23.702-04,233,GBLHNYC4PKDR6EWQQHSW
4498,"",agent,2025-08-09 17:24:25.921-04,233,IXVKRT16RQPKUOIGQONN
4499,"",agent,2025-08-09 17:24:35.808-04,233,ISK5FSH6F8PAQZB5UCA2
4500,"",agent,2025-08-09 17:25:24.841-04,233,A4FYFPHK5LSIJKENL7NX
4501,"",user,2025-08-09 17:26:39.669-04,233,Y5SJ4UCD7SXIU28RRVNO
4502,"",user,2025-08-09 17:28:28.735-04,233,SRZI0Z3ENRCKCZ7YCRMG
4503,"",agent,2025-08-09 17:31:45.788-04,233,AHZ7ML8TRIURNMSRDCD2
4504,"",agent,2025-08-09 17:32:49.734-04,233,36HMZCPB66HCVN08A405
4505,"",agent,2025-08-09 17:34:12.26-04,233,KNQJGT5FKBTYIJKMUDQA
4506,"",agent,2025-08-09 17:35:01.756-04,233,2AHSY45IRPLD105ZPFFY
4507,"Paso 1: Empresa en 1 Día
Valor $99.000 +IVA= *117810*
 
 
Preparación de Escritura, Obtención de Rut, Inicio de Actividades, Asesoría Tributaria y Jurídica.
 
El servicio de Empresa en Línea incluye:
* Propuesta de Escritura o Estatutos.
 
* Inicio de Actividades.
 
* Orientación Tributaria y Jurídica.
 
* Obtención de E-rut

 
Paso 2: Arriendo de Dirección Virtual para hacer el inicio de actividades ante el SII
Planes de Dirección Tributaria Disponible
 
1.- Plan semestral: $84.686 con IVA incluido.
2.- Plan Anual: $131.816 con IVA incluido.
 
* No aplica para empresas de venta de alimentos con atención a publico, fabricación,  recolección de chatarra y/o empresas que requieran resolución sanitaria del seremi de salud para funcionar.
Incluye: 1 hora de sala de reunión gratis al mes, recibo de correspondencia y notificación via correo, recibo de fiscalizadores del SII y la Municipalidad.

Nuestras Ubicaciones Disponibles :
 
Dirección Tributaria Santiago: Paseo Huérfanos # 1055, oficina 503
Dirección Tributaria Providencia: Av. Providencia #1208, oficina 1603
Dirección Tributaria Las Condes: Apoquindo #6410, oficina 605
Dirección Tributaria Viña del Mar: Arlegui #263, oficina 601
Dirección Tributaria Rancagua: Alcázar #356, oficina 603
Dirección Tributaria Talca: Calle Uno Sur #690, oficina 815
Dirección Tributaria Antofagasta: Uribe #636, oficina 302
Dirección Tributaria Concepción O'Higgins 770, Local 33,


Paso 3 para que pueda Facturar y boletear la empresa: HABILITACIÓN PYME $60.000 con este servicio se deja la empresa lista para emitir boletas y facturas demás esta decir que el SII pedirá documentos para acreditación del giro como facturas, orden de compra, cotización y/o contratos de obras o de servicios, bodega según giro que desea activar el servicio incluye:
 
# Certificado Digital simple centralizado ante el SII con vigencia de 3 años
 
# Configuración portal MyPyme.
 
# Habilitación del sistema de Factura Electrónica
 
# Acreditación de Actividad y Domicilio",agent,2025-08-09 17:35:15.993-04,233,II7X5OFTBRCGO2OO8MOH
4508,"",agent,2025-08-09 17:35:39.985-04,233,YVZB5XDHAN68LFTIKQKQ
4509,si es correcto la idea es quedarnos en la 1,user,2025-08-09 17:38:12.916-04,233,FY7H0CUCR8TPEABNNPRC
4510,"",agent,2025-08-09 17:41:52.01-04,233,7UF22IVXS3I0IGZ6ZERG
4511,¡Hola! Quiero más información.,user,2025-08-09 16:56:38.944-04,234,ZCKURH2FNIBZLL7LMEVO
4512,¡Bienvenido a Emprende.cl! 🚀,bot,2025-08-09 16:56:39.056-04,234,SU350YGP1TVLUEA2T4QO
4513,Te asignaremos un agente disponible,bot,2025-08-09 16:56:39.056-04,234,0OK3L8O2YHFRSEDV76KT
4514,"¡Hola! Te saluda Carolina Díaz ,  asesor  en Emprendimiento 😊 y espero estés pasando un buen día. Cuéntame ¿Cómo puedo ayudarte en esta oportunidad?",agent,2025-08-09 17:01:57.062-04,234,MZ6LXUMV4WQNZD421OUK
4515,Quiero empezar con un emprendimiento,user,2025-08-09 17:02:45.308-04,234,XSWQ5SH23RUSVT6HMOW3
4516,Venta de pastelitos pan y almacen,user,2025-08-09 17:03:04.907-04,234,VDLL1JXCYT3WS1YMUBVY
4517,Me gustaría saber los detalles para comenzar,user,2025-08-09 17:03:21.045-04,234,WJ7VVPB2FSK16L5WZ7RZ
4518,Te comento que nosotros prestamos el servicio de Creacion de empresa desde 0 hasta que este quede lista y operativa ante el SII para emitir boletas y facturas,agent,2025-08-09 17:10:04.42-04,234,8KIZ1ARUH65G1RACABSZ
4519,Valor,user,2025-08-09 17:10:27.187-04,234,2QSQQSAGPFKF8BPUDFM6
4520,"",agent,2025-08-09 17:13:28.519-04,234,X40MJB14QQ7X8HL2F403
4521,Desde casa,user,2025-08-09 17:14:31.006-04,234,YS3KNJYLAC5EA6K3LWN4
4522,Se habilitó un lugar en la parte del frente de la casa,user,2025-08-09 17:15:16.513-04,234,XCMZZ1KH0YM6O2JBKUCR
4523,Para ocuparlo como local,user,2025-08-09 17:15:30.265-04,234,U5MRRWWO7Y0IJVUACLCQ
4524,"",agent,2025-08-09 17:19:35.601-04,234,YR7EW4S7MVC4M078ZW7Y
4525,"",agent,2025-08-09 17:20:24.565-04,234,4Z3XOE35IJPLP403LZPI
4526,"",agent,2025-08-09 17:20:54.671-04,234,M7NZN7RTNDUFZIERO26A
4576,"
Hola, ¿sigues en línea?
Si no tenemos respuesta, pronto el chat se cerrará.
Cuando quieras continuar, solo tienes que escribirnos 💬",agent,2025-07-18 13:31:04.967-04,240,1ICCVBS8Z6PAGFS00PK2
4577,"Si acaba enviar eñ mensaje a suporte

Vuanto tiempo toma para que reinviarme",user,2025-07-18 13:33:46.457-04,240,WCJWG5UME00427VBST7Z
4578,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-07-18 13:33:46.552-04,240,OFTEWH6MLIV2ZPSSBCWS
4579,Te asignaremos un agente disponible,bot,2025-07-18 13:33:46.552-04,240,YP76S5140DR36A5OB8EN
4580,Ya estoy hablando con cristan,user,2025-07-18 13:35:00.899-04,240,18XT2RO7Y26H32UUVVXC
4581,Cuanto tipo durmora,user,2025-07-18 13:36:22.704-04,240,3BZHJ13DV3UPWYC7HGJN
4920,Ok lo veré,user,2025-08-11 09:48:51.184-04,254,EZHGKJT2CENL85XGZ185
4967,Te responderemos a la brevedad,bot,2025-08-10 12:43:45.548-04,258,W7E8NQ6ZBHMKT7W2BYRO
4527,"Paso 1: Empresa en 1 Día
Valor $99.000 + IVA= 117.810
 
 
Preparación de Escritura, Obtención de Rut, Inicio de Actividades, Asesoría Tributaria y Jurídica.
 
El servicio de Empresa en Línea incluye:
* Propuesta de Escritura o Estatutos.
 
* Inicio de Actividades.
 
* Orientación Tributaria y Jurídica.
 
* Obtención de E-rut

 
Paso 2:  En este  minuto haremos el inicio de actividades debe enviarme el contrato de arriendo o el de uso de cesión donde vas a funcionar  (con Rol de Avaluó y Dirección exacta) 


Paso 3 para que pueda Facturar y boletear la empresa: HABILITACIÓN PYME $65.000 con este servicio se deja la empresa lista para emitir boletas y facturas demás esta decir que el SII pedirá documentos para acreditación del giro como facturas, orden de compra, cotización y/o contratos de obras o de servicios, bodega según giro que desea activar el servicio incluye:
 
# Certificado Digital simple centralizado ante el SII con vigencia de 3 años
 
# Configuración portal MyPyme.
 
# Habilitación del sistema de Factura Electrónica
 
# Acreditación de Actividad y Domicilio",agent,2025-08-09 17:21:03.404-04,234,KEMP5FEOMRRWAPBBL1TH
4528,Ya ok soy yo sola,user,2025-08-09 17:21:23.474-04,234,4G2OH33540KP4XQWWPEO
4529,"",agent,2025-08-09 17:37:23.001-04,234,KCYM7DO4GK2WF86QDVML
4530,"",agent,2025-08-09 17:37:44.685-04,234,VJ1HEGP446VLBKQXRT1N
4531,"",agent,2025-08-09 17:37:58.294-04,234,KXOH5DEQJKH41PKAE2TI
4532,hola,user,2025-08-09 18:25:23.464-04,235,XHZX6KCXLQ3ZWJRTIQZK
4533,¡Bienvenido a Emprende.cl! 🚀,bot,2025-08-09 18:25:23.501-04,235,3UPQCOMPV2WRXQ0IPM3M
4534,¿En qué te puedo ayudar?,bot,2025-08-09 18:25:23.501-04,235,PYWDQMCDZHWLAEWLT4NP
4535,"Template:

¡Hola Velynvalfood! 🌟
 
Espero que estés bien. Solo quería hacer un seguimiento de nuestra conversación. ¿Tuviste la oportunidad de revisar la información que te proporcioné?
 
Si aún tienes dudas o necesitas más ayuda, estoy aquí para asistirte. ¡Hablemos para que puedas avanzar con tus trámites! 😊
 
Saludos,
",agent,2025-08-11 10:37:10.466-04,235,MZM3R8C52SNW1E3R0C5N
4536,"hola buenas tardes, quisiera cotizar la documentación para la constitución de una sociedad",user,2025-08-09 18:44:36.012-04,236,8G0FYESIBG74B7M8CQQU
4537,¡Bienvenido a emprende.cl!,bot,2025-08-09 18:44:36.1-04,236,NBPD5B4VPF4PG6NYVD21
4538,Gracias por contactarnos. Cuéntanos de tu emprendimiento mientras uno de nuestros asesores se conecta contigo. ✨,bot,2025-08-09 18:44:47.201-04,236,8YLDJ60LDYJ5VPKNNBH8
4539,"necesito crear 5 sociedades por acciones, entre otros servicios",user,2025-08-09 18:44:48.792-04,236,DWO5WYWSWIA604RAHOBR
4540,Te responderemos a la brevedad,bot,2025-08-09 18:44:48.818-04,236,GRQ2MVV6206MXRMY06ZL
4541,"Escrituración, constitución de sociedades y revisión de términos y condiciones. Contratos con contrapartes, NDAs, registro de marca INAPI",user,2025-08-09 18:50:32.047-04,236,FKL78CGQ8WVUPT7U8FS0
4542,Te responderemos a la brevedad,bot,2025-08-09 18:50:32.084-04,236,UU12CM0JSUWV8TOI0BIZ
4543,"eso es lo que necesito cotizar, por favor si lo pueden cotizar individualmente",user,2025-08-09 18:50:50.386-04,236,64KNDIOY7LNRQJ3TL1PH
4544,Te responderemos a la brevedad,bot,2025-08-09 18:50:50.426-04,236,N2TOY8N7EXNQKVIXJY0C
4545,En este momento comienzas a ser atendido por un asesor,bot,2025-08-11 07:23:31.328-04,236,MZF8COPHFBX1D38BLOUV
4546,"Hola buenas noches, disculpa la hora, cuánto me salen arriendo de una oficina online ?por favor",user,2025-08-09 19:12:01.217-04,237,5OQME14733J8TDE5ZVY2
4547,¡Bienvenido a emprende.cl!,bot,2025-08-09 19:12:01.313-04,237,XQ3VX78SVCIWE4XWELWD
4548,Gracias por contactarnos. Cuéntanos de tu emprendimiento mientras uno de nuestros asesores se conecta contigo. ✨,bot,2025-08-09 19:12:12.468-04,237,MX1JQQFRA8RYLQ7DP4KX
4549,Necesito arrendar una oficina online,user,2025-08-09 19:16:47.643-04,237,DCA4T683HUFKALS86C5N
4550,Te responderemos a la brevedad,bot,2025-08-09 19:16:47.676-04,237,TYM6DZJ5VG7G1W2XY5OY
4551,Que precio tiene para un plan de 6 meses?,user,2025-08-09 19:17:40.475-04,237,M4LN4L4J3DWKQP4QWKPD
4552,Te responderemos a la brevedad,bot,2025-08-09 19:17:40.562-04,237,EYEVAJTLPO64HJN126OC
4553,En este momento comienzas a ser atendido por un asesor,bot,2025-08-11 08:33:42.813-04,237,MX2IMPCX44EVQPR1C36H
4554,¡Hola! Quiero más información.,user,2025-08-09 19:24:34.407-04,238,4KNP71F6EL23IDQ6TUUJ
4555,¡Bienvenido a Emprende.cl! 🚀,bot,2025-08-09 19:24:34.443-04,238,DIQXN0JCJOYP2ZOWCM6C
4556,Te asignaremos un agente disponible,bot,2025-08-09 19:24:34.443-04,238,XG1DMW24VPT4YAXQUPJ2
4557,¡Hola! Quiero más información.,user,2025-08-09 20:19:08.639-04,239,E7O44HGB7OUQZ2ULRPR3
4558,¡Bienvenido a Emprende.cl! 🚀,bot,2025-08-09 20:19:08.727-04,239,0Y4X4BBHM0JALUN85YC2
4559,Te asignaremos un agente disponible,bot,2025-08-09 20:19:08.727-04,239,85C8D3DSKLRG87247NGM
4560,¡Hola! Necesito ayuda con,user,2025-07-18 13:02:03.458-04,240,3FEBYQCZ7WROXEZBNRBB
4561,¡Bienvenido a Emprende.cl! 🚀,bot,2025-07-18 13:02:03.5-04,240,RKS5ZT1XYLKX6G3YMOAK
4562,¿En qué te puedo ayudar?,bot,2025-07-18 13:02:03.5-04,240,XA36GUZD6Q4JMMVKA1UT
4563,"Envia una ttansferencia equivacado por 244541
Puede enviar a ?la misma cuenta???",user,2025-07-18 13:05:20.988-04,240,0JJVG3PN1LWOPBET1RU1
4564,Te asignaremos un agente disponible,bot,2025-07-18 13:05:21.025-04,240,GDWLSS5FF1VDMZZ4NGVM
4565,Cuando??,user,2025-07-18 13:06:49.9-04,240,1BVOYJTKWA42W7SI0PLG
4566,"¡Hola! Necesito ayuda con susana
Tapia",user,2025-07-18 13:14:21.505-04,240,411PZ6DWFEREMYU6DZOC
4567,"
¡Hola!
Gracias por el contacto con Emprende. ¡Espero que estés teniendo un buen día! 
Hablas con Cristian, me encargaré de tu asistencia desde ahora. ¿Cómo te podría ayudar?",agent,2025-07-18 13:14:45.013-04,240,803K3VHJKZSGPHQSH07H
4568,"Envia una ttansferencia equivacado por 244541
Puede enviar a ?la misma cuenta???",user,2025-07-18 13:17:10.144-04,240,D4TDF7DIQLVLACOC03GO
4569,"Hola cristian
Recibio miesaje??",user,2025-07-18 13:18:23.542-04,240,GE502A3Z205P7IGMRA1N
4570,"Disculpe, para poder entender, ya que el mensaje no esta muy claro, ¿usted realizó una transferencia equivocada por un monto de $244.541? 
",agent,2025-07-18 13:19:24.973-04,240,WNQ8TFPO8A4WD0W37YQZ
4571,Si,user,2025-07-18 13:20:20.114-04,240,I1WXN0CNR0HTBX1GMT2U
4572,"Entiendo, ¿usted tiene algún servicio contratado con emprende.cl? Si es sí, ¿cuál es el rut de la empresa o representante legal?
",agent,2025-07-18 13:21:17.502-04,240,S067KNNTG2ZUMDZ66MXQ
4573,No fue por otra persona,user,2025-07-18 13:23:05.859-04,240,H8JGO4RP6Q7H4UHPQ3L3
4574,Por ese no cortesponde a empremde,user,2025-07-18 13:25:05.236-04,240,XEBJKNT86F58ROKTYDON
4575,"Comprendo, para poder gestionar bien el proceso de devolver el monto, lo ideal es que se envíe un correo a la cuenta soporte@emprende.cl toda la información de lo ocurrido, una captura de la transferencia, la información de la cuenta y un detalle de lo que ocurrió, mediante ese mismo medio se ira respondiendo para la gestión
 ",agent,2025-07-18 13:25:36.36-04,240,C2Y7TTPXM44JYUYZM8LG
4919,"",agent,2025-08-11 09:41:17.379-04,254,2QPX73DAXIZWAIX6AR4Y
4582,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-07-18 13:36:22.749-04,240,0NHVV2KPGSOEFYWBID7G
4583,Te asignaremos un agente disponible,bot,2025-07-18 13:36:22.749-04,240,T81P6K4TWK70YZ8HXTF2
4584,Ya estoy hablando con cristan,user,2025-07-18 13:36:42.432-04,240,N3BZ6YX4CRZ8ZX17H7NK
4585,Cristian,user,2025-07-18 13:37:09.992-04,240,MS7VC3SUSCZJ3XKQ67XI
4586,Cuanto tipo durmora,user,2025-07-18 13:37:35.424-04,240,PXNDO6T4K2AXV4F47CAK
4587,Para devolverme ñs plata,user,2025-07-18 13:39:33.569-04,240,7IRBNWE5826NERSKF8TP
4588,La plata,user,2025-07-18 13:41:13.138-04,240,AXWL1LHWXKCPV2ZBL5E1
4589,Yo envia la plata a otra persona no uds,user,2025-07-18 13:53:41.589-04,240,UEOK1P1LRTJZWCTOK4O7
4590,Esta cristian??,user,2025-07-18 13:58:19.978-04,240,XCO1IAI7KUMGU8F216WV
4591,¡Hola! Necesitos ayuda con cristian,user,2025-07-18 14:22:14.5-04,240,Q1JGS72ZBNWS1KK42JNI
4592,"¡Hola! Necesito ayuda con
Ha recebido mi mensajes???",user,2025-07-18 14:43:23.113-04,240,JH2IRSYWUTIIS6HWM0H2
4593,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-07-18 14:43:23.156-04,240,V2YRVWAORNCO3Y4DNB2M
4594,Te asignaremos un agente disponible,bot,2025-07-18 14:43:23.156-04,240,ZTK03GB1Z1YA34OBZ7C8
4595,"
¡Hola!
Gracias por el contacto con Emprende. ¡Espero que estés teniendo un buen día! 
Hablas con Cristian, me encargaré de tu asistencia desde ahora. ¿Cómo te podría ayudar?",agent,2025-07-18 14:45:37.246-04,240,HJ4OQJ604BHIK8LEF4G5
4596,Ha recibido mis menjaes????,user,2025-07-18 14:46:41.185-04,240,VWR4YU15WD5J18KUEUVJ
4597,Hola cristian,user,2025-07-18 14:47:55.979-04,240,ZLKHKX5OVX4PMLT7YZG8
4598,"Según lo que se indicó anteriormente, tiene que enviar un correo a soporte@emprende.cl toda la información de lo ocurrido, una captura de la transferencia, la información de la cuenta y un detalle de lo que ocurrió, mediante ese mismo medio de ira, respondiendo para la gestión 
",agent,2025-07-18 14:48:17.449-04,240,AMGLP58K5OWFK4WOO58H
4599,Si lo envio a suporte,user,2025-07-18 14:49:17.288-04,240,HQJRXC6WXL4QUDFL262M
4600,"Puede llarme
Mi numero es 992312542",user,2025-07-18 14:50:28.639-04,240,S0XZIXGWLONBJKESZOHJ
4601,Mejor que hablamos,user,2025-07-18 14:51:19.376-04,240,JJ3TPQVXTQYW3C8A10EH
4602,"Estimado si realizo el envío por correo, ahora tiene que esperar la respuesta mediante ese mismo medio, la respuesta para revisar la gestion, puede ser dentro de este mismo día o el lunes ",agent,2025-07-18 14:53:31.778-04,240,H714FZA6Q6TNPFC201F5
4603,"
Muchas gracias por contactarnos, quedamos a atentos en caso de que necesites asistencia adicional.
Atendemos de lunes a viernes (días hábiles), a partir de las 08:30 am.
¡Saludos!",agent,2025-07-18 15:51:42.897-04,240,NXUUQBIB64APN162D1G0
4604,Aun no ha llgado la plata,user,2025-07-18 17:41:12.364-04,240,KQFHOF5A7L2LK8SO4EPW
4605,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-07-18 17:41:12.405-04,240,B7L10V2G8ZLWG1IX2F1V
4606,Te asignaremos un agente disponible,bot,2025-07-18 17:41:12.405-04,240,IGWVRQOJP61TPKAY0F75
4607,"La plata(244541) fue enviada hoy a TEF emprende spa y tiene que depositar en banco estado cheque electronica 29170698302.
Si cualquir problema hay que llmarme al 992312542. Gracias
Thomas Harrington
Rut 91242001
Por patagonia
Rut 76753964-9",user,2025-07-18 18:09:29.996-04,240,UG8CDGYYYKMRFFMSEIBF
4608,Te asignaremos un agente disponible,bot,2025-07-18 18:09:30.035-04,240,MG8I4R5J62N3XKZ1GU6Q
4609,Favor llamame ai 992312542,user,2025-07-18 18:10:20.31-04,240,37H0FVCP0VHWYSJSK7R6
4610,Te asignaremos un agente disponible,bot,2025-07-18 18:10:20.762-04,240,X6L1V4YBLEE18AZJFOM2
4611,Puede llarme hora??,user,2025-07-19 10:46:06.428-04,240,C6NL6DRK8FARVYOT5T50
4612,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-07-19 10:46:06.473-04,240,472FNFJLSWQ4ZN1SCNK8
4613,Te asignaremos un agente disponible,bot,2025-07-19 10:46:06.473-04,240,V652SO1RY2GJG5IERSPU
4614,A quien - cristian,user,2025-07-19 11:20:37.277-04,240,OVFGZGS1MSBLYXHQLGL3
4615,Parace  que fue depositado,user,2025-07-19 18:05:52.294-04,240,PGR5HLKOCSDEU7DN8LQE
4616,Espero hablar con   su agemte,user,2025-07-21 08:51:53.662-04,240,ZLCT3YVWCUSUPJVOM2R5
4617,¡Bienvenido nuevamente  a Emprende.cl! 🚀,bot,2025-07-21 08:51:53.787-04,240,NO8MBDLBU3LY5WKD2URH
4618,Te asignaremos un agente disponible,bot,2025-07-21 08:51:53.787-04,240,ISWSNPY2CAMBU5IF2VPC
